year  jd0  Z11a  J12  Z12  J01  Z01  J02  Z02  J03  Z03  J04  Z04  J05  Z05  J06  Z06  J07  Z07  J08  Z08  J09  Z09  J10  Z10  J11  Z11b  Q0_01  Q1_01  Q2_01  Q3_01  Q0_02  Q1_02  Q2_02  Q3_02  Q0_03  Q1_03  Q2_03  Q3_03  Q0_04  Q1_04  Q2_04  Q3_04  Q0_05  Q1_05  Q2_05  Q3_05  Q0_06  Q1_06  Q2_06  Q3_06  Q0_07  Q1_07  Q2_07  Q3_07  Q0_08  Q1_08  Q2_08  Q3_08  Q0_09  Q1_09  Q2_09  Q3_09  Q0_10  Q1_10  Q2_10  Q3_10  Q0_11  Q1_11  Q2_11  Q3_11  Q0_12  Q1_12  Q2_12  Q3_12  Q0_13  Q1_13  Q2_13  Q3_13  Q0_14  Q1_14  Q2_14  Q3_14  Q0_15  Q1_15  Q2_15  Q3_15
1600  2305446.166666667  -8.461003499219611  6.25536443215703  20.9851087116224  35.77262166420724  50.63466697992152  65.60780142713709  80.69696532555413  95.925029594907  111.2790779220788  126.765018878245  142.3507871838957  158.0256825979399  173.7438657448976  189.4830568161555  205.1951742586879  220.8547387431045  236.4244507713907  251.8848037756674  267.2179266591592  282.4172802494837  297.4867977408078  312.4351548897382  327.2844326965612  342.0562852997911  356.7838191462235  -13.05911969294957  -5.993017218765244  0.9442787926550329  8.867050243671091  16.54704946063279  23.336038496931  30.60826992975417  38.7430286590147  46.06417631313418  52.69491398815648  60.32821131692344  68.50645858838021  75.48876905651564  82.11975011679165  90.05378613642731  98.11388606816733  104.8401090833464  111.628204870218  119.7421142980159  127.5559373487115  134.1556647896993  141.2179583922868  149.3671633801114  156.8562213974523  163.4803903660061  170.8741962522727  178.9173290347123  186.0640169726796  192.856203267595  200.5780791482828  208.3925271544078  215.24358236995  222.3147764005589  230.3079593130949  237.8053446072093  244.4636233422255  251.8742617942002  260.0339091202105  267.1820241209412  273.7867525730298  281.5376646327049  289.7155703364492  296.5579567114617  303.2574926147161  311.2882994295787  319.3126357612865  325.9671378428255  332.8910751122124  341.0825296440889  348.8034813022239  355.4303769844186  362.6685549236655  370.8523723160752  378.1961923512724  384.9501285557249  392.5394246941763  400.5304537406381  407.5236554002062  414.5169507370787  422.4285687000831
1601  2305812.166666667  -9.216180853434432  5.496192258683658  20.22956114343618  35.01324108268849  49.87890885529281  64.84791105504715  79.94111853265268  95.16424839273158  110.5233916042858  126.0034265340813  141.5956835224351  157.2642965536044  172.9899630697089  188.7235349210007  204.4426364845222  220.0975428604164  235.671860184223  251.1283819285058  266.4635042326261  281.6598687998329  296.7297420737315  311.6756805796639  326.5248382919331  341.2946107805203  356.0225199962474  -24.91747035628996  -17.19651869677339  -10.56962301583947  -3.331445075729055  4.852372314887479  12.19619235200625  18.95012855627215  26.53942469391965  34.53045374038146  41.52365540095246  48.51695073691071  56.42856870087296  64.08212976732679  70.82878004503549  78.12122822633293  86.25127605676198  93.51478899653115  100.151121154416  107.7565474919771  115.9400557719064  122.8624007614634  129.5220766937658  137.4115625593499  145.4679215581825  152.1661820469495  158.9672863003201  167.0621613963511  174.850082669436  181.4645194355097  188.5085818298152  196.6764208778884  204.1289928336874  210.7923739207955  218.1586750030514  226.2312120053479  233.3583263281479  240.1849245032945  247.908438978922  255.7260462800852  262.5929448370671  269.6783588366501  277.7166109164478  285.1820125367956  291.8837341110272  299.3006192711211  307.5169142476893  314.6270483460222  321.2741681852805  329.0500849246495  337.2437954244912  344.0785949320976  350.795578024421  358.8761964198155  366.8558097642937  373.5372984833143  380.4584298314417  388.6909799132258  396.3411751598311  402.9977873293312  410.2403886283688
1602  2306177.166666667  -8.977480003392184  5.733161833716521  20.46786094356411  35.25031148789271  50.11801589008871  65.08650023169898  80.18158256447016  95.40529883845392  110.7650198900423  126.2473010341428  141.8378032152465  157.5105585659801  173.2318311263558  188.971303642562  204.6842942578314  220.3461194355989  235.9138863503334  251.3771668731859  266.7059085744762  281.9081759493583  296.971996275571  311.9231803369706  326.7665003564992  341.5413775172115  356.2635422155769  -35.94991507541999  -27.75620457557829  -20.92140506704055  -14.20442197569646  -6.123803580302015  1.855809764176223  8.537298484326566  15.45842983173726  23.69097991352135  31.34117516012671  37.99778732962684  45.24038862782039  53.41475790295718  60.7120858978223  67.46522405919268  75.08147943387337  83.01203330796554  89.9984052031773  96.95915623285561  104.9014771205178  112.4886737310431  119.2430000140421  126.5006546943031  134.6340138456785  141.8704322267736  148.4971250756357  156.0952286108789  164.248395925856  171.1883629544008  177.8147500361593  185.7265865281122  193.7459771639924  200.4761998041458  207.2446046178989  215.3664483358525  223.1453907349627  229.7731210088363  236.8183670027531  244.9910266312332  252.472530089557  259.1245591044655  266.5369176179993  274.5894367394122  281.7592177812655  288.5761425864259  296.3637084301581  304.1590542569659  311.0458252615768  318.1585094201301  326.2338023189114  333.6958254503706  340.3801885886039  347.8676855750358  356.0728452499097  363.1915003183391  369.8076346676997  377.6576025561529  385.8134147805401  392.6414711834356  399.3539394201474
1603  2306542.166666667  -8.736457784072078  5.979587360705272  20.70868845578076  35.4969833666577  50.35931292315053  65.33370738568493  80.42346692055864  95.65214306415888  111.0066769869035  126.4920955184898  142.0785695310943  157.7519732931231  173.471649662157  189.2090020570167  204.9236227113221  220.5813858767593  236.1539816226746  251.6123744736337  266.947926752538  282.1450162302678  297.2162819382592  312.1620909283843  327.0127104057698  341.7819150958802  356.5108890104805  -17.13231442447317  -8.927154749687933  -1.808499682122554  4.807634668315698  12.65760255613656  20.81341478052372  27.64147118341923  34.35393942013104  42.45841201009527  50.40811634124215  57.05431587202093  64.01161938586465  72.20638094378565  79.84231458437492  86.45278839733166  93.74257559956959  101.860141327583  109.1388355985118  115.865791368791  123.4974752835871  131.4015494405749  138.3494049854484  145.3182776096849  153.234573068612  160.8337591341618  167.5396320426482  174.8258486859056  182.9244371874207  190.1801495532711  196.7757745124705  204.3952972927514  212.5454542867096  219.4806295987497  226.1148227106976  234.026137226421  242.0820626970493  248.783912683841  255.5964200445115  263.7075797627394  271.5298595967162  278.1372212206946  285.2365080827738  293.4123520939573  300.902095830266  307.5754076432781  315.0229469465045  323.097517291921  330.2304799812114  337.1129961094512  344.9113919731175  352.7203287533906  359.557922516383  366.7439919180133  374.8238530935625  382.2588936023033  388.9253687359438  396.4482848136046  404.6636408557937  411.7179366453482  418.3592766884673
1604  2306907.166666667  -8.489110989572731  6.220880270017251  20.95622511103887  35.73806539284924  50.60625545311829  65.57385939602793  80.66957641566503  95.8913568750542  111.2522052059595  126.7307632486316  142.3234484671663  157.9907438024083  173.7156850666069  189.4489056109655  205.16684239199  220.8233377921577  236.3970589115484  251.8570555454683  267.1920440622027  282.3924639752913  297.461689949394  312.4108669509528  327.2581308961827  342.029842614686  356.7546294398924  -27.88700388994685  -20.08860802698659  -12.27967124671349  -5.442077483721087  1.743991917909229  9.82385309345845  17.25889360219924  23.92536873598719  31.448284813648  39.66364085583704  46.71793664539153  53.35927668851068  61.19499966048911  69.35204475066136  76.11796662175547  82.86844982630275  90.9401607530813  98.85991307545677  105.4828400056739  112.4508852426394  120.6313035320032  128.2080887483513  134.8358028070971  142.1001123374164  150.2264959592058  157.4470200037881  164.2027628667913  171.8027736848654  179.713888604893  186.6373733891493  193.6159350282399  201.5319146784489  209.1147788020379  215.8394005688613  223.11110847368  231.2476502626379  238.470711418103  245.1087789149202  252.715100901666  260.9098420172823  267.8256065047531  274.494697459888  282.4261154724944  290.4930082033695  297.2116742098701  304.0354804969311  312.2008789812646  319.991162736395  326.6445998523621  333.7466834816759  341.9682052451445  349.413204449767  356.130012629712  363.6017488233244  371.6657535312594  378.7774114626111  385.6739809811342  393.5220130837784  401.2651225592288  408.1092618296045
1605  2307273.166666667  -9.245370561166167  5.466183508003354  20.19703312225452  34.98004375822198  49.84386192871266  64.81325804549419  79.9049107258238  95.13020284353506  110.4870083312703  125.9713089871317  141.5593597731051  157.234136326914  172.9536946313634  188.6948386538232  204.4073279633495  220.0706384405684  235.6397046018786  251.1046298463993  266.4362171680412  281.6400522340632  296.7070388500541  311.6589899286135  326.5045624163968  341.2788428775946  356.001689513656  -9.869987369067514  -2.398251177280958  5.665753531493984  12.77741146284565  19.67398098136867  27.52201308222521  35.26512255846838  42.10926182897887  49.28348025891407  57.40141867258292  64.76649930517645  71.44050638151612  78.95270466812458  87.15571919970597  94.1819690991744  100.8066790678308  108.6508885656813  116.7503396755443  123.5287194501333  130.2420111951652  138.3306875633921  146.192529073318  152.8326774744797  159.7714881462412  167.9529759295806  175.512290961792  182.132529143031  189.4014998041597  197.5044435091208  204.7507859062872  211.4774410848609  219.1146640504506  226.9957367902279  233.9571866842379  240.9171387826913  248.8747474531754  256.448043691396  263.1881441380547  270.485224825608  278.6385959885872  285.8806681985642  292.5041672717319  300.1811644547436  308.3643709408485  315.3066694730898  321.9587323000967  329.9643683125421  338.0131422483604  344.7365012674678  351.579050680993  359.7699954262526  367.5534164376699  374.1834535582  381.3468599066798  389.5342561064062  396.9739767094604  403.6637179110018  411.1986798740805  419.2093696121004  426.2940263784467
1606  2307638.166666667  -8.998310486357914  5.71567921149116  20.44398043946687  35.229179918358  50.09006614224822  65.06119304887493  80.1503149469969  95.37660065010624  110.7324298429389  126.2165021656042  141.8059902852502  157.478292429612  173.201535675404  188.9374829845631  204.6551634710108  220.3113278564157  235.8860226500618  251.3431734322488  266.680372466413  281.8770593473658  296.9500402794416  311.8960207289603  326.7483428635949  341.5175636107363  356.2477950260136  -20.26349873188793  -13.42094931914624  -5.230004572946912  2.553416437389251  9.183453557919393  16.34685990639914  24.53425610705694  31.97397670888185  38.66371791069882  46.19867987360554  54.20936961171751  61.29402637806383  68.18933807588418  76.05316901533448  83.76795359770583  90.55871783360091  97.76028061481632  105.8421921084445  113.2062889218465  119.8241151968054  127.364515945641  135.522703487475  142.5456895329145  149.1425173505351  156.9861900555969  165.0748597132986  171.827406653426  178.5531879512392  186.6121907929225  194.4999040676358  201.1028773974691  208.0785568172651  216.231108262689  223.8200796190665  230.4234206391376  237.7242513366799  245.8290411295569  253.0766037123552  259.8310583730707  267.4790776694922  275.390445455586  282.3239243020132  289.3513866776645  297.3103517752077  304.9062041209214  311.6202842321362  318.990109580753  327.1579081171705  334.3809515313309  341.0144543662547  348.7320618789831  356.9421240556184  363.8304877383974  370.531723389715  378.5382961608932  386.5941515926684  393.2711953900048  400.1678400951657  408.3446398488568  416.0865684411542
1607  2308003.166666667  -8.752204973218676  5.957021429164266  20.69285570300938  35.47300873302973  50.34096477032639  65.30641311554641  80.40158153954039  95.62165579170016  110.9820737151571  126.4603213197698  142.0526544935858  157.7212618381167  173.4453711901397  189.1809354465852  204.8971676211814  220.5561260357929  236.1273181408902  251.5892826697042  266.921432042905  282.1237534194544  297.1909276167678  312.1430030507794  326.9895754647154  341.7653103693555  356.49010185779  -30.61904846905367  -23.9855456339617  -16.26793812123331  -8.057875944598072  -1.169512261579335  5.531723389738179  13.53829616091641  21.59415159269157  28.27119539002805  35.1678400951889  43.34463984888009  51.08656844117739  57.71231923435297  64.89550487212757  73.07664747462482  80.43784546648318  87.15834064084704  94.67458712718543  102.6816246062446  109.6949911641115  116.6179149397692  124.4569957572063  132.1508430104915  138.9141762384804  146.1090401624713  154.1915248564914  161.5142589698989  168.1495317671432  175.6536152506831  183.8363711597347  190.8200255150324  197.4498560165941  205.2634942925271  213.3729440141945  220.1164014942111  226.8586546293174  234.9270992821451  242.8091674552346  249.4424953230609  256.4113532758506  264.6087130169446  272.171705339018  278.8274598676664  286.1238484836589  294.2659167891655  301.4954376331111  308.2949271520857  315.9728468246575  323.8721579157331  330.8162439441757  337.865319424568  345.8847057693425  353.4232446201519  360.1676301985542  367.5468564982271  375.7572576268328  382.9248152622183  389.5788661003504  397.316155640554  405.5060568656988
1608  2308368.166666667  -8.509898141647671  6.205803615567179  20.9360317021947  35.7221151757429  50.58383800034625  65.55465389173651  80.6426268279822  95.86781052595046  111.2201082338725  126.7035340428859  142.2877203960383  157.9616271913104  173.6792658036242  189.4196921967034  205.1324716315618  220.7950220879059  236.3660299206076  251.8300310227107  267.1643223788568  282.3670266434953  297.4370069046889  312.3878342088194  327.2367219007607  342.0101968781012  356.7366713652412  -11.57675537919556  -4.832369800835377  2.546856497090342  10.75725762719271  17.92481526144691  24.57886609950447  32.31615564139746  40.50605686568511  47.37892850761553  54.07225637711321  62.11004458041562  70.09278392071553  76.78572561824679  83.65806165029414  91.85075697862689  99.52099363407572  106.1560470384239  113.3277814854543  121.4865104908843  128.820342813056  135.5190480232277  143.0511364088111  151.0083377535425  158.0356712841604  164.9168797567858  172.7843154817251  180.437809920788  187.2218978603019  194.3900405317381  202.4869970965468  209.8075125818593  216.4406553090846  223.9606149825607  232.1341554227018  239.1494021218555  245.7551753170682  253.6216773294026  261.7146373518499  268.4927738803205  275.2201142937179  283.3405226326138  291.2233247776439  297.8669857008202  304.8639575458388  313.0739402506031  320.6585708862809  327.3023635710174  334.6695351956795  342.7819740024167  350.0287873666516  356.8241952437775  364.5706090155232  372.4312533394663  379.3599369939117  386.4398227584524  394.4756211739107  401.9953439438872  408.6928863127715  416.1283062538222  424.300420224746
1609  2308734.166666667  -9.263328635182852  5.450096470678375  20.18190896371427  34.96619691503386  49.82980422262372  64.79888073125234  79.88943822427878  95.11203227101677  110.4680291822545  125.9471023240486  141.5362944376776  157.2039623705357  172.9277389703393  188.6612022565325  204.3804795755253  220.0365106514711  235.6130138585442  251.0714303241176  266.4097938531333  281.6080180895893  296.6810381396079  311.6279837817282  326.4793478989485  341.2489245858573  355.9778717010761  -23.21802599744257  -15.97121263428428  -9.175804756595751  -1.429390985011361  6.431253338843966  13.35993699450803  20.43982275798802  28.47562117438918  35.99534394435251  42.69288631337962  50.12830625338054  58.30042022515342  65.4616376758058  72.07022690796417  79.84633885741241  87.9871758936751  94.8396759674585  101.5218921260034  109.5484157757008  117.5104309445421  124.1607291255564  131.0581652373717  139.2023171316011  146.8780749073125  153.4687844396881  160.6725819793878  168.7907601917938  176.1272462356041  182.8094271549168  190.3502012167007  198.3075925045438  205.3153335099993  212.2209299203916  220.0724556294198  227.7574209510991  234.5095439536956  241.7290220028087  249.8139344158503  257.15800202218  263.7766502307718  271.3446760530915  279.5368812471368  286.539332385088  293.171487199452  301.0613029197435  309.1951944266427  315.9359085033242  322.7243854851372  330.8479531652036  338.7519249899904  345.3745893458514  352.4325373343265  360.6449691561807  368.1974459114496  374.8654349950697  382.2599359579535  390.3784479189396  397.5528983882454  404.4031582217146  412.1433389874725
